Filename	2024_09_17_sucrose_chm343_dsc
Instrument name	DSC2A-00468 (192.168.1.100)
Operator	CHM343
rundate	9/17/2024
Sample name	2024_09_17_Sucrose_CHM343_DSC
proceduresegments	Equilibrate 30.00 °C; Ramp 10.00 °C/min to 210.00 °C; Isothermal 1.0 min; Ramp 10.00 °C/min to 30.00 °C; Isothermal 1.0 min; Ramp 10.00 °C/min to 210.00 °C
[step]
Ramp 10.00 °C/min to 210.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00	30.06	-0.053
0.00	30.06	-0.053
0.00	30.06	-0.052
0.01	30.06	-0.052
0.01	30.06	-0.052
0.01	30.06	-0.052
0.01	30.06	-0.052
0.01	30.06	-0.052
0.01	30.06	-0.052
0.01	30.06	-0.052
0.02	30.06	-0.051
0.02	30.06	-0.051
0.02	30.06	-0.051
0.02	30.06	-0.051
0.02	30.06	-0.051
0.03	30.06	-0.051
0.03	30.06	-0.050
0.03	30.06	-0.050
0.03	30.06	-0.050
0.03	30.06	-0.050
0.03	30.07	-0.049
0.03	30.07	-0.049
0.04	30.07	-0.049
0.04	30.07	-0.049
0.04	30.07	-0.049
0.04	30.07	-0.049
0.04	30.07	-0.049
0.05	30.07	-0.049
0.05	30.07	-0.049
0.05	30.07	-0.049
0.05	30.08	-0.049
0.05	30.08	-0.049
0.05	30.08	-0.049
0.05	30.08	-0.049
0.06	30.08	-0.049
0.06	30.08	-0.049
0.06	30.09	-0.049
0.06	30.09	-0.049
0.06	30.09	-0.049
0.07	30.09	-0.049
0.07	30.10	-0.049
0.07	30.10	-0.050
0.07	30.10	-0.050
0.07	30.10	-0.051
0.07	30.11	-0.052
0.08	30.11	-0.053
0.08	30.12	-0.054
0.08	30.12	-0.056
0.08	30.12	-0.057
0.08	30.13	-0.059
0.08	30.13	-0.060
0.08	30.14	-0.062
0.09	30.14	-0.064
0.09	30.15	-0.066
0.09	30.15	-0.068
0.09	30.16	-0.069
0.09	30.16	-0.070
0.09	30.17	-0.071
0.10	30.17	-0.072
0.10	30.18	-0.073
0.10	30.19	-0.074
0.10	30.19	-0.075
0.10	30.20	-0.075
0.11	30.21	-0.076
0.11	30.21	-0.077
0.11	30.22	-0.077
0.11	30.23	-0.077
0.11	30.24	-0.077
0.11	30.24	-0.077
0.12	30.25	-0.077
0.12	30.26	-0.077
0.12	30.27	-0.077
0.12	30.28	-0.077
0.12	30.29	-0.076
0.12	30.30	-0.076
0.13	30.30	-0.076
0.13	30.31	-0.075
0.13	30.32	-0.075
0.13	30.33	-0.075
0.13	30.34	-0.075
0.13	30.35	-0.074
0.14	30.36	-0.074
0.14	30.37	-0.072
0.14	30.38	-0.071
0.14	30.39	-0.068
0.14	30.40	-0.065
0.14	30.41	-0.061
0.14	30.42	-0.057
0.15	30.44	-0.052
0.15	30.45	-0.047
0.15	30.46	-0.043
0.15	30.47	-0.039
0.15	30.48	-0.036
0.16	30.49	-0.032
0.16	30.50	-0.028
0.16	30.51	-0.025
0.16	30.53	-0.022
0.16	30.54	-0.019
0.16	30.55	-0.015
0.16	30.56	-0.013
0.17	30.57	-0.010
0.17	30.59	-0.007
0.17	30.60	-0.004
0.17	30.61	-0.001
0.17	30.62	0.002
0.18	30.64	0.005
0.18	30.65	0.009
0.18	30.66	0.012
0.18	30.67	0.015
0.18	30.69	0.019
0.18	30.70	0.022
0.19	30.71	0.025
0.19	30.72	0.027
0.19	30.74	0.030
0.19	30.75	0.034
0.19	30.76	0.037
0.19	30.78	0.039
0.19	30.79	0.041
0.20	30.80	0.044
0.20	30.82	0.046
0.20	30.83	0.048
0.20	30.84	0.050
0.20	30.86	0.053
0.21	30.87	0.055
0.21	30.88	0.058
