Frequency (Hz)	Level (dB)
0.976562	-97.254578
1.953125	-97.346375
2.929688	-96.902802
3.906250	-95.994667
4.882812	-95.404877
5.859375	-94.310738
6.835938	-94.026939
7.812500	-94.439705
8.789062	-93.344330
9.765625	-90.909180
10.742188	-89.386917
11.718750	-88.540039
12.695312	-89.848221
13.671875	-88.054443
14.648438	-88.855453
15.625000	-88.454994
16.601562	-87.996735
17.578125	-87.908730
18.554688	-86.131721
19.531250	-86.585503
20.507812	-87.763557
21.484375	-85.703873
22.460938	-84.363579
23.437500	-84.490250
24.414062	-85.582687
25.390625	-85.748421
26.367188	-84.354645
27.343750	-84.366760
28.320312	-83.952118
29.296875	-84.397797
30.273438	-84.797966
31.250000	-84.939720
32.226562	-86.440147
33.203125	-85.520203
34.179688	-86.245667
35.156250	-85.429581
36.132812	-84.467438
37.109375	-84.826874
38.085938	-84.404190
39.062500	-85.066582
40.039062	-85.023132
41.015625	-83.963959
41.992188	-83.807091
42.968750	-84.922241
43.945312	-84.379669
44.921875	-84.570625
45.898438	-83.987518
46.875000	-83.758369
47.851562	-82.652275
48.828125	-84.214134
49.804688	-82.674362
50.781250	-82.604195
51.757812	-82.685204
52.734375	-82.037971
53.710938	-81.484917
54.687500	-81.240082
55.664062	-81.545998
56.640625	-80.317719
57.617188	-80.109009
58.593750	-79.733299
59.570312	-80.218498
60.546875	-80.229004
61.523438	-79.015297
62.500000	-77.751396
63.476562	-78.728424
64.453125	-82.144600
65.429688	-84.231087
66.406250	-84.131226
67.382812	-83.190826
68.359375	-84.198883
69.335938	-81.833061
70.312500	-81.223297
71.289062	-82.289955
72.265625	-83.735336
73.242188	-82.312157
74.218750	-81.116257
75.195312	-81.605431
76.171875	-82.653244
77.148438	-83.547020
78.125000	-83.603928
79.101562	-84.055031
80.078125	-84.850075
81.054688	-84.236633
82.031250	-85.157097
83.007812	-83.625801
83.984375	-82.464844
84.960938	-81.523666
85.937500	-82.549805
86.914062	-81.345985
87.890625	-82.898697
88.867188	-83.482269
89.843750	-83.391731
90.820312	-84.006828
91.796875	-83.570595
92.773438	-83.692764
93.750000	-83.854507
94.726562	-85.158218
95.703125	-85.333923
96.679688	-83.029953
97.656250	-84.321014
98.632812	-84.752792
99.609375	-84.570251
100.585938	-84.635368
101.562500	-83.944435
102.539062	-83.133705
103.515625	-82.812439
104.492188	-84.277245
105.468750	-83.683556
106.445312	-83.801964
107.421875	-83.991928
108.398438	-84.150230
109.375000	-82.306145
110.351562	-82.779091
111.328125	-83.492653
112.304688	-83.858917
113.281250	-83.043861
114.257812	-81.292015
115.234375	-82.680389
116.210938	-82.630363
117.187500	-82.924370
118.164062	-80.425972
119.140625	-79.536285
120.117188	-75.841713
121.093750	-78.258102
122.070312	-81.654251
123.046875	-83.706299
124.023438	-83.278854
125.000000	-83.545677
125.976562	-83.773773
126.953125	-83.960938
127.929688	-84.076828
128.906250	-82.920746
129.882812	-82.907005
130.859375	-83.778824
131.835938	-83.728249
132.812500	-83.440445
133.789062	-82.914421
134.765625	-83.973038
135.742188	-82.247070
136.718750	-83.258125
137.695312	-83.243767
138.671875	-83.426971
139.648438	-82.850624
140.625000	-82.145706
141.601562	-82.757416
142.578125	-82.657555
143.554688	-82.414589
144.531250	-82.616676
145.507812	-82.429314
146.484375	-82.794395
147.460938	-83.310242
148.437500	-81.676666
149.414062	-81.456001
150.390625	-81.980942
151.367188	-83.377670
152.343750	-82.061539
153.320312	-83.244286
154.296875	-82.611244
155.273438	-81.783508
156.250000	-81.674263
157.226562	-83.138565
158.203125	-81.788727
159.179688	-82.331047
160.156250	-81.552078
161.132812	-82.882309
162.109375	-81.170837
163.085938	-82.169777
164.062500	-82.161621
165.039062	-82.740944
166.015625	-81.618187
166.992188	-80.792770
167.968750	-82.044716
168.945312	-84.150642
169.921875	-81.880287
170.898438	-81.823090
171.875000	-82.252159
172.851562	-82.142853
173.828125	-82.212982
174.804688	-82.520515
175.781250	-81.643036
176.757812	-81.721603
177.734375	-80.994995
178.710938	-81.672729
179.687500	-81.066887
180.664062	-80.604774
181.640625	-82.227310
182.617188	-81.575867
183.593750	-81.804672
184.570312	-81.122711
185.546875	-81.165184
186.523438	-82.022537
187.500000	-82.364761
188.476562	-81.012894
189.453125	-81.037224
190.429688	-81.123161
191.406250	-81.255699
192.382812	-79.766281
193.359375	-81.210342
194.335938	-79.600937
195.312500	-78.949768
196.289062	-81.294853
197.265625	-81.041740
198.242188	-80.439384
199.218750	-80.527489
200.195312	-79.659264
201.171875	-79.438286
202.148438	-79.022987
203.125000	-80.008186
204.101562	-79.331284
205.078125	-80.077583
206.054688	-79.014496
207.031250	-78.916153
208.007812	-79.726265
208.984375	-79.175201
209.960938	-78.784790
210.937500	-79.161308
211.914062	-77.906311
212.890625	-78.413315
213.867188	-77.322548
214.843750	-78.873741
215.820312	-77.900482
216.796875	-77.359093
217.773438	-77.707611
218.750000	-78.709023
219.726562	-78.291718
220.703125	-76.562836
221.679688	-77.275795
222.656250	-77.900230
223.632812	-77.756310
224.609375	-77.312439
225.585938	-77.894188
226.562500	-78.228073
227.539062	-77.659660
228.515625	-78.164543
229.492188	-77.062042
230.468750	-77.326271
231.445312	-76.867554
232.421875	-76.259941
233.398438	-75.831345
234.375000	-75.779602
235.351562	-77.219826
236.328125	-76.665276
237.304688	-76.225159
238.281250	-77.681877
239.257812	-76.179680
240.234375	-75.949074
241.210938	-72.914711
242.187500	-75.041435
243.164062	-75.538818
244.140625	-74.307182
245.117188	-74.266502
246.093750	-74.398476
247.070312	-74.552780
248.046875	-74.517975
249.023438	-73.929649
250.000000	-73.008041
250.976562	-74.168503
251.953125	-72.831200
252.929688	-72.380234
253.906250	-71.825562
254.882812	-71.132843
255.859375	-70.993210
256.835938	-72.589409
257.812500	-71.128479
258.789062	-71.594734
259.765625	-72.293907
260.742188	-71.728462
261.718750	-70.665787
262.695312	-70.364410
263.671875	-70.608177
264.648438	-70.389984
265.625000	-69.033279
266.601562	-69.737762
267.578125	-68.489510
268.554688	-67.605553
269.531250	-69.122940
270.507812	-68.030640
271.484375	-67.638512
272.460938	-67.664375
273.437500	-68.361382
274.414062	-67.889015
275.390625	-66.464478
276.367188	-65.862839
277.343750	-65.095581
278.320312	-66.631882
279.296875	-67.511322
280.273438	-66.574753
281.250000	-65.848541
282.226562	-64.739799
283.203125	-64.726974
284.179688	-65.930824
285.156250	-64.169899
286.132812	-64.006920
287.109375	-64.971481
288.085938	-63.386227
289.062500	-64.148415
290.039062	-64.798569
291.015625	-64.705528
291.992188	-64.941490
292.968750	-64.907913
293.945312	-64.759979
294.921875	-65.851822
295.898438	-66.714737
296.875000	-66.598221
297.851562	-67.829613
298.828125	-67.289642
299.804688	-67.178200
300.781250	-68.288124
301.757812	-68.347443
302.734375	-67.025726
303.710938	-68.284302
304.687500	-69.215340
305.664062	-68.820076
306.640625	-68.155830
307.617188	-69.362900
308.593750	-70.090309
309.570312	-68.722992
310.546875	-70.437561
311.523438	-71.050369
312.500000	-69.896202
313.476562	-70.619949
314.453125	-69.748283
315.429688	-70.544167
316.406250	-71.232628
317.382812	-70.964668
318.359375	-71.183052
319.335938	-72.650314
320.312500	-72.682747
321.289062	-72.971413
322.265625	-73.016205
323.242188	-72.880852
324.218750	-72.408447
325.195312	-73.997612
326.171875	-73.840637
327.148438	-73.228859
328.125000	-74.803726
329.101562	-72.465958
330.078125	-73.364120
331.054688	-73.229004
332.031250	-73.713814
333.007812	-73.904701
333.984375	-74.114265
334.960938	-74.163094
335.937500	-74.646820
336.914062	-74.753021
337.890625	-74.536697
338.867188	-75.285278
339.843750	-75.642273
340.820312	-75.136093
341.796875	-76.237579
342.773438	-75.649223
343.750000	-74.149712
344.726562	-75.868774
345.703125	-75.757660
346.679688	-75.984970
347.656250	-76.297470
348.632812	-75.829956
349.609375	-76.861671
350.585938	-77.662865
351.562500	-75.020531
352.539062	-75.806702
353.515625	-75.529175
354.492188	-75.499565
355.468750	-76.103317
356.445312	-76.601151
357.421875	-77.104713
358.398438	-78.699348
359.375000	-76.490944
360.351562	-77.107124
361.328125	-78.093491
362.304688	-77.616669
363.281250	-76.972252
364.257812	-77.040268
365.234375	-77.839806
366.210938	-78.898033
367.187500	-77.755745
368.164062	-78.525558
369.140625	-76.857719
370.117188	-77.663254
371.093750	-78.014793
372.070312	-78.043648
373.046875	-77.185730
374.023438	-77.432686
375.000000	-77.576599
375.976562	-78.199730
376.953125	-78.232018
377.929688	-78.273857
378.906250	-77.946289
379.882812	-78.191124
380.859375	-78.672989
381.835938	-78.485085
382.812500	-77.715080
383.789062	-78.722542
384.765625	-78.590240
385.742188	-79.059654
386.718750	-78.813789
387.695312	-79.697113
388.671875	-78.788918
389.648438	-78.005753
390.625000	-77.719185
391.601562	-79.920830
392.578125	-79.874512
393.554688	-78.347153
394.531250	-79.832207
395.507812	-78.945862
396.484375	-78.444084
397.460938	-79.751602
398.437500	-79.096992
399.414062	-78.310593
400.390625	-79.505058
401.367188	-79.174484
402.343750	-79.129517
403.320312	-78.039162
404.296875	-77.835106
405.273438	-80.554741
406.250000	-79.944168
407.226562	-78.814919
408.203125	-79.485123
409.179688	-79.761497
410.156250	-80.066513
411.132812	-79.797729
412.109375	-79.217400
413.085938	-78.192039
414.062500	-79.725441
