Frequency (Hz)	Level (dB)
0.976562	-96.272820
1.953125	-96.279770
2.929688	-95.814514
3.906250	-95.076752
4.882812	-95.474434
5.859375	-93.575386
6.835938	-92.705536
7.812500	-93.637581
8.789062	-92.672897
9.765625	-90.515717
10.742188	-89.429214
11.718750	-88.034424
12.695312	-87.871635
13.671875	-88.130463
14.648438	-88.598289
15.625000	-87.916138
16.601562	-86.987411
17.578125	-87.773468
18.554688	-85.587151
19.531250	-86.557961
20.507812	-87.430473
21.484375	-84.975014
22.460938	-83.519112
23.437500	-84.086273
24.414062	-84.569336
25.390625	-85.143585
26.367188	-83.566216
27.343750	-84.086487
28.320312	-83.763443
29.296875	-83.549919
30.273438	-83.875244
31.250000	-84.583481
32.226562	-84.145668
33.203125	-84.653923
34.179688	-84.766716
35.156250	-84.296707
36.132812	-83.464958
37.109375	-83.969543
38.085938	-84.885254
39.062500	-84.668716
40.039062	-84.959099
41.015625	-84.175781
41.992188	-83.972595
42.968750	-84.372101
43.945312	-84.184784
44.921875	-83.792587
45.898438	-83.698456
46.875000	-83.007675
47.851562	-82.707840
48.828125	-83.045624
49.804688	-82.395439
50.781250	-82.551529
51.757812	-82.504242
52.734375	-81.754738
53.710938	-81.562141
54.687500	-80.326073
55.664062	-80.087692
56.640625	-79.794823
57.617188	-79.646545
58.593750	-80.023773
59.570312	-79.053925
60.546875	-78.569725
61.523438	-79.483162
62.500000	-78.878616
63.476562	-78.735229
64.453125	-81.915512
65.429688	-83.090019
66.406250	-83.120949
67.382812	-83.767120
68.359375	-84.184387
69.335938	-81.960793
70.312500	-81.659279
71.289062	-81.645302
72.265625	-81.404587
73.242188	-81.394295
74.218750	-81.843513
75.195312	-81.644043
76.171875	-81.829659
77.148438	-82.397179
78.125000	-82.352005
79.101562	-84.147957
80.078125	-84.240105
81.054688	-83.997322
82.031250	-83.426865
83.007812	-84.076828
83.984375	-83.084862
84.960938	-82.940521
85.937500	-81.742798
86.914062	-80.483818
87.890625	-81.507942
88.867188	-83.685944
89.843750	-82.856911
90.820312	-82.721397
91.796875	-83.205833
92.773438	-82.106499
93.750000	-82.660065
94.726562	-83.706589
95.703125	-83.352928
96.679688	-82.247528
97.656250	-83.978180
98.632812	-83.362167
99.609375	-83.599030
100.585938	-83.193207
101.562500	-82.566216
102.539062	-81.789490
103.515625	-81.906326
104.492188	-82.644623
105.468750	-82.055458
106.445312	-82.438339
107.421875	-83.270020
108.398438	-83.267197
109.375000	-81.678024
110.351562	-82.318886
