Frequency (Hz)	Level (dB)
0.976562	-92.444176
1.953125	-92.431900
2.929688	-92.147629
3.906250	-91.930763
4.882812	-92.000679
5.859375	-91.184227
6.835938	-90.509315
7.812500	-91.670258
8.789062	-90.829124
9.765625	-90.062057
10.742188	-87.899536
11.718750	-86.864563
12.695312	-87.624344
13.671875	-86.716240
14.648438	-87.788437
15.625000	-87.327148
16.601562	-85.343414
17.578125	-86.914879
18.554688	-86.017952
19.531250	-85.637886
20.507812	-86.839722
21.484375	-84.370872
22.460938	-83.358444
23.437500	-84.039574
24.414062	-83.921326
25.390625	-84.629227
26.367188	-83.320923
27.343750	-82.911514
28.320312	-83.615082
29.296875	-83.729752
30.273438	-83.950752
31.250000	-84.267464
32.226562	-84.309486
33.203125	-85.092957
34.179688	-84.729439
35.156250	-84.240593
36.132812	-84.305542
37.109375	-84.259254
38.085938	-84.224152
39.062500	-84.013580
40.039062	-83.940758
41.015625	-83.813850
41.992188	-83.426750
42.968750	-84.052803
43.945312	-84.427589
44.921875	-83.109596
45.898438	-83.457497
46.875000	-83.293831
47.851562	-82.322372
48.828125	-82.861855
49.804688	-81.196304
50.781250	-81.457993
51.757812	-81.877106
52.734375	-82.089027
53.710938	-79.972794
54.687500	-80.191063
55.664062	-79.971344
56.640625	-80.069954
57.617188	-79.969040
58.593750	-79.374580
59.570312	-79.320572
60.546875	-79.094810
61.523438	-78.728096
62.500000	-78.186172
63.476562	-78.485527
64.453125	-81.144485
65.429688	-83.018196
66.406250	-82.615021
67.382812	-82.737732
68.359375	-82.235664
69.335938	-81.204628
70.312500	-80.864632
71.289062	-80.633568
72.265625	-81.645424
73.242188	-80.582832
74.218750	-78.617683
75.195312	-80.780975
76.171875	-80.363640
77.148438	-81.585648
78.125000	-81.317017
79.101562	-82.561104
80.078125	-82.556732
81.054688	-83.487144
82.031250	-82.275871
83.007812	-82.353722
83.984375	-81.440781
84.960938	-80.383553
85.937500	-80.655510
86.914062	-81.294968
87.890625	-81.486382
88.867188	-81.950478
89.843750	-81.791565
90.820312	-82.163780
91.796875	-81.749069
92.773438	-81.095703
93.750000	-80.724655
94.726562	-82.898125
95.703125	-82.803169
96.679688	-81.617233
97.656250	-83.287109
98.632812	-82.172218
99.609375	-81.586456
100.585938	-82.240089
101.562500	-81.059303
102.539062	-81.218346
103.515625	-80.883858
104.492188	-82.144089
105.468750	-81.459557
106.445312	-81.569511
107.421875	-81.635010
108.398438	-81.868423
109.375000	-79.848137
110.351562	-80.460266
111.328125	-80.902130
112.304688	-80.977097
113.281250	-79.164421
114.257812	-79.734123
115.234375	-79.740379
116.210938	-79.434029
117.187500	-78.858482
118.164062	-75.684692
119.140625	-77.216942
120.117188	-71.594902
121.093750	-71.741615
122.070312	-76.820480
123.046875	-78.722404
124.023438	-80.184280
125.000000	-79.698341
125.976562	-80.752007
126.953125	-81.055557
127.929688	-80.312134
128.906250	-78.891220
129.882812	-79.181618
130.859375	-79.921844
131.835938	-79.939972
132.812500	-79.203293
133.789062	-79.547264
134.765625	-78.922226
135.742188	-78.368637
136.718750	-79.560165
137.695312	-79.478729
138.671875	-80.067039
139.648438	-78.772339
