Frequency (Hz)	Level (dB)
0.976562	-103.383095
1.953125	-103.289749
2.929688	-101.896957
3.906250	-99.050964
4.882812	-100.381943
5.859375	-97.395752
6.835938	-95.193054
7.812500	-96.567650
8.789062	-97.083649
9.765625	-93.132111
10.742188	-90.784691
11.718750	-88.968231
12.695312	-89.688690
13.671875	-88.927193
14.648438	-90.462868
15.625000	-88.542213
16.601562	-88.087875
17.578125	-88.950722
18.554688	-87.189178
19.531250	-87.578751
20.507812	-87.824745
21.484375	-85.161842
22.460938	-85.277771
23.437500	-83.944382
24.414062	-85.202614
25.390625	-84.987846
26.367188	-84.178513
27.343750	-84.384178
28.320312	-84.336372
29.296875	-83.313972
30.273438	-84.116844
31.250000	-85.051453
32.226562	-85.661919
33.203125	-85.298958
34.179688	-84.356529
35.156250	-84.267578
36.132812	-84.043373
37.109375	-83.903503
38.085938	-84.747612
39.062500	-83.834145
40.039062	-83.700089
41.015625	-84.552948
41.992188	-84.205589
42.968750	-84.260551
43.945312	-83.459328
44.921875	-82.757240
45.898438	-83.205093
46.875000	-83.216148
47.851562	-82.673767
48.828125	-83.187935
49.804688	-82.111427
50.781250	-81.201653
51.757812	-82.105354
52.734375	-80.946823
53.710938	-80.428238
54.687500	-79.601768
55.664062	-80.207855
56.640625	-78.724167
57.617188	-78.197266
58.593750	-77.602531
59.570312	-78.093506
60.546875	-77.724800
61.523438	-77.364059
62.500000	-75.271233
63.476562	-76.033409
64.453125	-80.362938
65.429688	-82.140160
66.406250	-82.299423
67.382812	-83.002075
68.359375	-82.113663
69.335938	-81.551720
70.312500	-80.899452
71.289062	-80.199089
72.265625	-81.283974
73.242188	-79.781853
74.218750	-80.374252
75.195312	-80.416267
76.171875	-82.617859
77.148438	-82.449982
78.125000	-82.076233
79.101562	-83.800148
80.078125	-84.886124
81.054688	-84.503159
82.031250	-84.574852
83.007812	-84.330238
83.984375	-82.768875
84.960938	-81.576950
85.937500	-80.849648
86.914062	-80.430481
87.890625	-82.024559
88.867188	-83.635551
89.843750	-82.613251
90.820312	-82.873314
91.796875	-83.407906
92.773438	-84.221191
93.750000	-84.274132
94.726562	-85.470886
95.703125	-85.417992
96.679688	-84.676201
97.656250	-85.010338
98.632812	-85.244125
99.609375	-85.364029
100.585938	-84.853592
101.562500	-84.918625
102.539062	-83.697289
103.515625	-83.002754
104.492188	-84.015549
105.468750	-84.179848
106.445312	-83.822800
107.421875	-84.978554
108.398438	-84.330009
109.375000	-84.207886
110.351562	-84.724304
111.328125	-85.112068
112.304688	-84.691566
113.281250	-82.384102
114.257812	-81.054703
115.234375	-84.199379
116.210938	-84.443840
117.187500	-84.431847
118.164062	-84.300377
119.140625	-82.907890
120.117188	-83.475029
121.093750	-84.712845
122.070312	-85.285652
123.046875	-86.107552
124.023438	-86.194008
125.000000	-85.589043
125.976562	-86.451721
