Frequency (Hz)	Level (dB)
0.976562	-97.363045
1.953125	-97.310463
2.929688	-96.995125
3.906250	-95.719376
4.882812	-96.679474
5.859375	-94.701965
6.835938	-94.294563
7.812500	-94.945038
8.789062	-94.570160
9.765625	-92.562378
10.742188	-90.190071
11.718750	-88.638115
12.695312	-89.376152
13.671875	-88.310394
14.648438	-89.579712
15.625000	-89.293762
16.601562	-88.523277
17.578125	-88.631371
18.554688	-87.730141
19.531250	-87.623474
20.507812	-87.218483
21.484375	-85.542038
22.460938	-85.558655
23.437500	-85.508713
24.414062	-86.304436
25.390625	-86.201355
26.367188	-84.020676
27.343750	-84.340469
28.320312	-85.162430
29.296875	-86.621078
30.273438	-85.897896
31.250000	-85.346832
32.226562	-85.854225
33.203125	-86.082687
34.179688	-86.173233
35.156250	-84.733139
36.132812	-84.891640
37.109375	-85.146523
38.085938	-85.926620
39.062500	-86.044495
40.039062	-85.596985
41.015625	-85.673531
41.992188	-84.862350
42.968750	-84.549294
43.945312	-84.884560
44.921875	-84.405861
45.898438	-84.470901
46.875000	-85.072227
47.851562	-83.886330
48.828125	-84.071968
49.804688	-83.892265
50.781250	-83.394150
51.757812	-83.323372
52.734375	-82.529770
53.710938	-82.719597
54.687500	-82.165581
55.664062	-82.141808
56.640625	-80.736473
57.617188	-80.265915
58.593750	-80.072800
59.570312	-80.199799
60.546875	-80.064011
61.523438	-80.444298
62.500000	-79.837578
63.476562	-80.079735
64.453125	-82.898743
65.429688	-83.976921
66.406250	-83.223999
67.382812	-84.435089
68.359375	-84.690750
69.335938	-83.208427
70.312500	-82.616631
71.289062	-82.978157
72.265625	-83.516159
73.242188	-81.788452
74.218750	-82.459305
75.195312	-82.034416
76.171875	-82.315323
77.148438	-83.021248
78.125000	-82.552467
79.101562	-85.345512
80.078125	-85.041031
81.054688	-85.397995
82.031250	-85.038254
83.007812	-85.014977
83.984375	-84.735336
84.960938	-83.223808
85.937500	-83.343185
86.914062	-82.484848
87.890625	-83.585449
88.867188	-84.548843
89.843750	-83.619705
90.820312	-84.677551
91.796875	-84.286613
92.773438	-83.816475
93.750000	-84.472954
94.726562	-85.850769
95.703125	-85.414497
96.679688	-83.093521
97.656250	-85.180374
98.632812	-85.059868
99.609375	-85.074043
100.585938	-85.004417
101.562500	-84.532990
102.539062	-83.927490
103.515625	-83.520782
104.492188	-84.186150
105.468750	-84.359924
106.445312	-84.286057
107.421875	-84.332680
108.398438	-84.156174
109.375000	-83.157143
110.351562	-83.878059
111.328125	-83.927261
112.304688	-84.770233
113.281250	-83.510208
114.257812	-81.751282
115.234375	-83.211769
116.210938	-83.184326
117.187500	-82.765732
118.164062	-79.712631
119.140625	-79.157555
120.117188	-77.223572
121.093750	-81.755882
122.070312	-81.290092
123.046875	-84.096954
124.023438	-84.817093
125.000000	-84.723770
125.976562	-86.260773
126.953125	-84.589539
127.929688	-84.768913
128.906250	-83.831093
129.882812	-83.450050
130.859375	-83.781830
131.835938	-84.772934
132.812500	-83.549774
133.789062	-83.972374
134.765625	-84.571045
135.742188	-83.050232
136.718750	-84.215126
137.695312	-83.941414
138.671875	-84.039986
139.648438	-83.481758
140.625000	-82.696991
141.601562	-83.436104
142.578125	-83.146080
143.554688	-83.388596
144.531250	-83.276260
145.507812	-83.037407
146.484375	-83.109848
147.460938	-84.695030
148.437500	-83.075615
149.414062	-82.443932
150.390625	-82.740456
151.367188	-83.630089
152.343750	-82.814293
153.320312	-83.728668
154.296875	-83.326019
155.273438	-82.937477
156.250000	-81.879814
157.226562	-83.375359
158.203125	-82.417618
159.179688	-82.695045
160.156250	-81.990768
161.132812	-83.247330
162.109375	-82.156128
163.085938	-83.399612
164.062500	-82.900185
165.039062	-83.209061
166.015625	-82.212891
166.992188	-81.387131
167.968750	-82.708961
168.945312	-85.241615
169.921875	-82.304344
170.898438	-82.728539
171.875000	-83.373642
172.851562	-82.931679
173.828125	-82.899704
174.804688	-83.133751
175.781250	-82.012169
176.757812	-82.640945
177.734375	-82.311584
178.710938	-82.222092
179.687500	-82.053940
180.664062	-81.725960
181.640625	-83.048050
182.617188	-82.391571
183.593750	-82.203064
184.570312	-81.764626
185.546875	-81.720146
186.523438	-82.609695
187.500000	-83.251808
188.476562	-82.164917
189.453125	-81.655670
190.429688	-81.601944
191.406250	-81.927109
192.382812	-80.575974
193.359375	-82.387428
194.335938	-80.194092
195.312500	-80.136292
196.289062	-82.406242
197.265625	-81.997055
198.242188	-81.508705
199.218750	-81.574219
200.195312	-80.909233
201.171875	-80.313591
202.148438	-79.845604
203.125000	-80.951019
204.101562	-80.323929
205.078125	-81.164711
206.054688	-80.646812
207.031250	-80.329597
208.007812	-80.563332
208.984375	-80.346558
209.960938	-79.637154
210.937500	-79.840477
211.914062	-78.860161
212.890625	-79.475449
213.867188	-78.157387
214.843750	-79.686378
215.820312	-79.199707
216.796875	-78.836861
217.773438	-79.036530
218.750000	-80.328827
219.726562	-79.564926
220.703125	-78.885002
221.679688	-77.735481
222.656250	-79.027321
223.632812	-78.303757
224.609375	-78.581947
225.585938	-78.757996
226.562500	-79.390564
227.539062	-78.896057
228.515625	-79.873688
229.492188	-78.101479
230.468750	-78.306366
231.445312	-77.974731
232.421875	-77.461433
233.398438	-76.959000
234.375000	-76.901825
235.351562	-78.428154
236.328125	-77.631340
237.304688	-77.488129
238.281250	-78.876251
239.257812	-77.581795
240.234375	-77.096458
241.210938	-72.656418
242.187500	-76.479134
243.164062	-76.675056
244.140625	-75.678299
245.117188	-75.881615
246.093750	-75.608101
247.070312	-75.573158
248.046875	-75.767845
249.023438	-75.490517
250.000000	-74.305847
250.976562	-75.679939
251.953125	-74.253632
252.929688	-73.959030
253.906250	-73.217598
254.882812	-72.600479
255.859375	-72.471977
256.835938	-74.295235
257.812500	-72.638687
258.789062	-73.137238
259.765625	-74.214333
260.742188	-73.463303
261.718750	-72.478127
262.695312	-72.027603
263.671875	-72.545593
