Frequency (Hz)	Level (dB)
0.976562	-99.298134
1.953125	-99.366646
2.929688	-99.070702
3.906250	-98.003166
4.882812	-97.991730
5.859375	-97.345360
6.835938	-95.474602
7.812500	-96.216423
8.789062	-96.424614
9.765625	-94.363091
10.742188	-91.969810
11.718750	-90.597557
12.695312	-91.413689
13.671875	-91.394806
14.648438	-91.108986
15.625000	-91.379272
16.601562	-90.022835
17.578125	-91.169807
18.554688	-89.660370
19.531250	-89.017303
20.507812	-89.649864
21.484375	-87.747200
22.460938	-86.225456
23.437500	-86.041824
24.414062	-88.405083
25.390625	-88.255737
26.367188	-86.360420
27.343750	-86.082924
28.320312	-85.869514
29.296875	-86.199120
30.273438	-86.520454
31.250000	-86.125053
32.226562	-86.714836
33.203125	-86.929581
34.179688	-87.513657
35.156250	-86.899773
36.132812	-85.558876
37.109375	-86.976509
38.085938	-87.233589
39.062500	-86.961128
40.039062	-85.797646
41.015625	-86.436707
41.992188	-86.005936
42.968750	-85.646179
43.945312	-84.977867
44.921875	-85.342728
45.898438	-85.057861
46.875000	-85.620636
47.851562	-84.340591
48.828125	-84.998894
49.804688	-83.550209
50.781250	-82.806290
51.757812	-82.499466
52.734375	-83.561333
53.710938	-82.939438
54.687500	-82.878418
55.664062	-82.179657
56.640625	-81.560211
57.617188	-80.125214
58.593750	-81.076820
59.570312	-81.359261
60.546875	-80.643372
61.523438	-80.843353
62.500000	-79.777695
63.476562	-79.341362
64.453125	-83.160431
65.429688	-84.177437
66.406250	-84.992699
67.382812	-85.414795
68.359375	-84.947029
69.335938	-83.928680
70.312500	-82.735756
71.289062	-83.551781
72.265625	-84.501816
73.242188	-83.303413
74.218750	-82.798737
75.195312	-84.041542
76.171875	-84.049812
77.148438	-84.089813
78.125000	-84.885880
79.101562	-86.291603
80.078125	-86.837708
81.054688	-86.362282
82.031250	-87.033287
83.007812	-86.275368
83.984375	-85.212936
84.960938	-84.698494
85.937500	-84.064766
86.914062	-83.049774
87.890625	-84.165169
88.867188	-84.813148
89.843750	-83.898315
90.820312	-84.751968
