Frequency (Hz)	Level (dB)
0.976562	-90.526535
1.953125	-90.477219
2.929688	-90.251747
3.906250	-90.523819
4.882812	-90.143257
5.859375	-89.487694
6.835938	-89.770203
7.812500	-89.848770
8.789062	-89.488708
9.765625	-89.068710
10.742188	-88.406891
11.718750	-87.801018
12.695312	-87.995255
13.671875	-87.779671
14.648438	-87.966774
15.625000	-87.448700
16.601562	-87.269951
17.578125	-87.668114
18.554688	-86.138351
19.531250	-86.988106
20.507812	-87.800522
21.484375	-86.232796
22.460938	-85.232208
23.437500	-85.309090
24.414062	-86.552368
25.390625	-85.739029
26.367188	-84.954170
27.343750	-85.675758
28.320312	-85.521072
29.296875	-85.413193
30.273438	-85.513451
31.250000	-85.145973
32.226562	-86.189362
33.203125	-86.104912
34.179688	-85.456024
35.156250	-86.092537
36.132812	-85.246841
37.109375	-85.378792
38.085938	-85.435928
39.062500	-85.849808
40.039062	-86.054710
41.015625	-85.144623
41.992188	-85.040428
42.968750	-85.190140
43.945312	-85.264313
44.921875	-84.953568
45.898438	-85.062355
46.875000	-84.815575
47.851562	-84.248047
48.828125	-84.019974
49.804688	-83.504951
50.781250	-82.669327
51.757812	-83.139183
52.734375	-82.748047
53.710938	-82.239151
54.687500	-81.250435
55.664062	-81.279167
56.640625	-80.887039
57.617188	-82.215485
58.593750	-81.163857
59.570312	-80.447289
60.546875	-81.195747
61.523438	-80.625549
62.500000	-80.017830
63.476562	-79.845070
64.453125	-81.744377
65.429688	-83.036758
66.406250	-83.253647
67.382812	-83.822685
68.359375	-83.998657
69.335938	-82.446251
70.312500	-82.564751
71.289062	-82.673416
72.265625	-83.126381
73.242188	-81.889130
74.218750	-81.136459
75.195312	-81.303772
76.171875	-82.144135
77.148438	-81.428329
78.125000	-81.436272
79.101562	-83.731781
80.078125	-82.802986
81.054688	-82.901611
82.031250	-82.541466
83.007812	-81.621513
83.984375	-81.448608
84.960938	-81.687492
85.937500	-82.047264
86.914062	-81.692474
87.890625	-82.154099
88.867188	-82.288277
89.843750	-82.089882
90.820312	-82.039848
91.796875	-82.064438
92.773438	-80.687904
93.750000	-80.089882
94.726562	-82.378876
95.703125	-82.349518
96.679688	-81.384758
97.656250	-81.935791
98.632812	-81.627785
99.609375	-80.659019
100.585938	-80.537437
101.562500	-79.878365
102.539062	-80.664909
103.515625	-80.173027
104.492188	-80.148834
105.468750	-80.597832
106.445312	-80.666649
107.421875	-80.767578
108.398438	-80.596413
109.375000	-77.964439
110.351562	-78.845284
111.328125	-78.870193
112.304688	-79.220482
113.281250	-77.361656
114.257812	-77.142982
115.234375	-76.668747
116.210938	-76.445251
117.187500	-76.705925
118.164062	-73.029175
119.140625	-72.007744
120.117188	-68.309921
121.093750	-68.800018
122.070312	-73.328148
123.046875	-76.139252
124.023438	-77.242699
125.000000	-76.709846
125.976562	-78.024368
126.953125	-77.927528
127.929688	-77.352234
128.906250	-75.920921
129.882812	-76.142410
130.859375	-76.299065
131.835938	-75.822777
132.812500	-76.052284
133.789062	-75.160263
134.765625	-74.882851
135.742188	-74.480347
136.718750	-74.308327
137.695312	-74.211624
138.671875	-73.795364
139.648438	-73.665054
140.625000	-73.584526
141.601562	-72.450142
142.578125	-72.188583
143.554688	-72.135910
144.531250	-72.078461
145.507812	-72.220139
146.484375	-71.840141
147.460938	-72.164528
148.437500	-70.840515
149.414062	-70.044846
150.390625	-69.057381
151.367188	-70.062843
152.343750	-69.266922
153.320312	-69.805771
154.296875	-69.258881
155.273438	-68.148369
156.250000	-66.808914
157.226562	-68.181282
158.203125	-66.588608
159.179688	-66.191360
160.156250	-66.097054
161.132812	-68.153702
162.109375	-66.120583
163.085938	-67.491066
164.062500	-66.646614
165.039062	-66.432861
166.015625	-65.344887
166.992188	-64.607071
167.968750	-66.116081
168.945312	-67.280579
169.921875	-65.181099
170.898438	-65.256737
171.875000	-66.427078
172.851562	-65.086281
173.828125	-66.098541
174.804688	-66.324883
175.781250	-66.107674
176.757812	-65.468437
177.734375	-65.453293
178.710938	-66.110550
179.687500	-66.400764
180.664062	-66.951294
181.640625	-68.760651
182.617188	-68.384171
183.593750	-68.602570
184.570312	-68.367851
185.546875	-68.931046
186.523438	-69.741508
187.500000	-70.906265
188.476562	-69.812302
189.453125	-70.056725
190.429688	-70.389435
191.406250	-70.788574
192.382812	-69.053230
193.359375	-71.558525
194.335938	-69.655441
195.312500	-70.068512
